product_name,price,shipping_Location,shipping_Cost,Items_sold
For iPhone 7plus 4G Smartphone 7MP+12MP 4G Network Cellphone 3+128GB,$475.46 to $545.22,From China,Free International Shipping,46 Watching
New AT&T Apple iPhone 5c - 16/32GB Unlocked Sealed in Box UNLOCKED Smartphone,$80.99 to $98.99,From United States,+$19.99 shipping,64+ Sold
IPhone 5c 1 6 GB used,$65.63 ,From Italy,+$10.94 shipping,64+ Sold
Apple iPhone 7 Plus 256GB Plata Desbloqueado Smartphone,$470.34 ,From China,Free International Shipping,Only 1 left!
Apple iPhone xs max 512 GB Free + Invoice +8 Accessories Gift +1 year warranty,$841.17 ,From Spain,+$27.35 shipping,Only 1 left!
Iphone 11 128go black icloud,$1.09 ,From France,+$71.10 shipping,Only 1 left!
Apple iPhone 6s - 16GB-Space Grey-Very Good Condition!,$109.39 ,From Germany,+$16.95 shipping,Only 1 left!
Used iPhone 7 128gb Black. unlocked. model a1778.,$164.08 ,From Spain,+$16.41 shipping,Only 1 left!
New in Sealed Box Apple iPhone 6s - Unlocked Smartphone/Rose Gold/16GB,$180.99 ,From United States,+$19.99 shipping,Only 1 left!
Apple iPhone 8 256GB Space Unlocked MDM Remote Management Cracked (Back Clean),$150.00 ,From Denmark,+$50.00 shipping,Only 1 left!
Apple iPhone 7 Plus 32/128GB Unlocked Negro/Oro/Plata/Oro Rosa Smartphone,$382.84 to $437.53,From China,Free International Shipping,7+ Watching
Apple iPhone 8 White 64gb Original as NEW 100% Battery,$382.74 ,From Italy,+$21.88 shipping,Only 1 left!
Apple iphone 8 plus - 64 gb-space grey (désimlocké),$305.18 ,From Canada,+$37.19 shipping,Only 1 left!
 Apple iPhone 8 Plus 64GB Smartphone Grigio Siderale Oro Argento 4G LTE GSM,$546.91 ,From China,Free International Shipping,3+ Watching
Apple iPhone 7 Plus 32GB/128GB/256GB Schwarz Ohne Simlock Entsperrt Smartphone,$393.78 ,From China,Free International Shipping,32+ Sold
Apple iPhone 7 plus 256gb 1 year warranty + free + Invoice +8 accessories gift,$392.69 ,From Spain,+$27.35 shipping,32+ Sold
Apple iPhone 6s 16/32/64/128GB Gold/Rose/Silver/Grey Unlocked / FREE Delivery,$224.43 to $299.24,From United Kingdom,+$18.70 shipping,32+ Sold
NEW Apple iPHONE 7 32GB UNLOCKED OPEN BOX ,$249.00 ,From United States,+$38.60 shipping,Only 1 left!
